"Page Title:","Home | University of Illinois Urbana-Champaign"
"Page URL:","https://illinois.edu/"
"Date:","2022-08-29"
"Time:","14:17:25"
"Source:","AInspector 2.1.beta1"


"Rule ID","COLOR 1"
"Summary","Text must exceed CCR threshold"
"Definition","Text content must exceed Color Contrast Ratio (CCR) of 3.1 for large and/or bolded text and 4.5 for any other size or style of text."
"WCAG Success Criteria","Success Criterion 1.4.3 Contrast (Minimum) (Primary)"
"Compliance","WCAG Level AA, Required"
"Rule Scope","element"

"Number of results with"
"Violations","3"
"Warnings","0"
"Manual Checks","0"
"Passed","262"
"Hidden","92"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","color contrast ratio","color","color hex","background color","background color hex","font family","font size","font weight","large font","background image","background repeat","background position","href","tabindex","class","onclick","style","target","id","for","rel","aria-label"
"a","P","2","267","link","CCR of 16.1 exceeds 4.5.","International","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","international/index.html","","submenu-trigger","","","","","","",""
"a","P","2","277","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illinois International","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://international.illinois.edu/","-1","","","","","","","",""
"a","P","2","279","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","International Admissions","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://isss.illinois.edu/students/prospective/","-1","","","","","","","",""
"a","P","2","281","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Study Abroad","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://www.studyabroad.illinois.edu/","-1","","","","","","","",""
"a","P","2","283","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Academic Programs","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://international.illinois.edu/global-impact/offices-academics.html","-1","","","","","","","",""
"a","P","2","285","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Global Impact","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://international.illinois.edu/global-impact/overview.html","-1","","","","","","","",""
"a","P","2","287","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","International Student Resources","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://isss.illinois.edu/students/prospective/index.html","-1","","","","","","","",""
"a","P","2","289","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","International Faculty, Staff, and Scholar Resources","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://isss.illinois.edu/scholars/life_in_cu.html","-1","","","","","","","",""
"a","P","2","291","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","International Safety & Security","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://safetyabroad.illinois.edu","-1","","","","","","","",""
"a","P","2","293","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illinois Global Institute","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://igi.illinois.edu","-1","","","","","","","",""
"h3","P","2","296","heading","CCR of 7.8 exceeds 4.5.","Related Links : International","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","300","link","CCR of 7.9 exceeds 4.5.","Calendars","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","resources/calendars.html","","","","","","","","",""
"a","P","2","302","link","CCR of 7.9 exceeds 4.5.","Student Affairs","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://studentaffairs.illinois.edu","","","","","","","","",""
"a","P","2","304","link","CCR of 16.1 exceeds 4.5.","Arts & Culture","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","arts/index.html","","submenu-trigger","","","","","","",""
"a","P","2","314","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","College of Fine & Applied Arts","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://faa.illinois.edu/","-1","","","","","","","",""
"a","P","2","316","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","College of Liberal Arts and Sciences","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://las.illinois.edu/units/","-1","","","","","","","",""
"a","P","2","318","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Inclusion and Intercultural Relations","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://oiir.illinois.edu/","-1","","","","","","","",""
"a","P","2","320","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Krannert Center for the Performing Arts","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://krannertcenter.com/","-1","","","","","","","",""
"a","P","2","322","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Krannert Art Museum","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://kam.illinois.edu/","-1","","","","","","","",""
"a","P","2","324","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Library Special Collections","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://library.illinois.edu","-1","","","","","","","",""
"a","P","2","326","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Spurlock Museum","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://spurlock.illinois.edu/","-1","","","","","","","",""
"a","P","2","328","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Japan House","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://japanhouse.art.illinois.edu/en/","-1","","","","","","","",""
"a","P","2","330","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Allerton Park and Retreat Center","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://allerton.illinois.edu","-1","","","","","","","",""
"a","P","2","332","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illini Union","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://union.illinois.edu","-1","","","","","","","",""
"a","P","2","334","link","CCR of 16.1 exceeds 4.5.","Athletics","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","athletics/index.html","","submenu-trigger","","","","","","",""
"a","P","2","344","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Fighting Illini Athletics","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://fightingillini.com/","-1","","","","","","","",""
"a","P","2","346","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Wheelchair & Adapted Sports","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://www.disability.illinois.edu","-1","","","","","","","",""
"a","P","2","348","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Campus Recreation","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://campusrec.illinois.edu/","-1","","","","","","","",""
"a","P","2","350","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Marching Illini","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://marchingillini.com","-1","","","","","","","",""
"a","P","2","352","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illini Pride","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://illinipride.com/","-1","","","","","","","",""
"h3","P","2","355","heading","CCR of 7.8 exceeds 4.5.","Related Links : Athletics","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","359","link","CCR of 7.9 exceeds 4.5.","Campus Map","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://map.illinois.edu/view","","","","","","","","",""
"a","P","2","361","link","CCR of 7.9 exceeds 4.5.","Calendars","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","Library/resources/calendars.html","","","","","","","","",""
"a","P","2","368","link","CCR of 3.9 exceeds 3.1 for large or bolded text.","University COVID-19 Information","contents","3.9","rgb(255, 255, 255)","#ffffff","rgb(232, 74, 39)","#e84a27","Montserrat, sans-serif","18","700","Yes","none","repeat","0% 0%","https://covid19.illinois.edu","","covid19__link","","","","","","",""
"h2","P","2","384","heading","CCR of 18.3 exceeds 3.1 for large or bolded text.","Interested in Illinois? Come visit us this fall!","contents","18.3","rgb(255, 255, 255)","#ffffff","rgba(19, 28, 45, 0.75)","#0e1522","""proxima-nova-alt"", sans-serif","33","700","Yes","none","repeat","0% 0%","","","marquee-heading","","","","","","",""
"a","P","2","431","link","CCR of 7.8 exceeds 4.5.","Illinois News","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","15","600","no","none","repeat","0% 0%","https://blogs.illinois.edu/view/6231","","","ga('send', 'event', { eventCategory: 'illinois news label', eventAction: 'click', eventLabel: 'headline link'});","","","","","",""
"span","P","2","437","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","441","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","442","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illinois Global Institute centers receive almost $13.2 million in Title VI funding","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","444","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","447","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","453","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","458","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","467","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","468","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Will pre-pandemic office life ever make a comeback?","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","470","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","473","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","479","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","484","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","489","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","493","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","494","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Eight employees honored with Chancellor's Distinguished Staff Award","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","496","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","499","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","505","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","510","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","515","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","519","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","520","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Transfer partnerships and pipelines","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","522","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","525","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","531","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","536","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","541","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","545","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","546","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Searching the Texas brushland for a rare, temperamental plant","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","548","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","551","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","557","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","562","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","567","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","571","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","572","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Krannert Art Museum exhibition depicts Dutch prints as the original social media","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"span","P","2","574","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","blog-post-author","","","","","","",""
"a","P","2","575","link","CCR of 3.1 exceeds 3.1 for large or bolded text.","Jodi Heckel","contents","3.1","rgb(135, 149, 150)","#879596","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","mailto:jeheckel@illinois.edu","","","","","","","","",""
"p","P","2","577","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","580","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","586","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","591","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","596","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","600","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","601","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illini celebrate senior day victory","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","603","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","606","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","612","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","617","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","622","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","626","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
"h3","P","2","627","heading","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illinois opens Big Ten play at Indiana on Friday night","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""ff-meta-serif-web-pro"", Georgia, serif","22","500","Yes","none","repeat","0% 0%","","","blog-post-title","","","","","","",""
"p","P","2","629","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","632","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","638","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","643","generic","CCR of 6.5 exceeds 4.5.","","none","6.5","rgb(68, 77, 86)","#444d56","rgb(224, 224, 224)","#e0e0e0","""proxima-nova-alt"", sans-serif","15","700","no","none","repeat","0% 0%","","","","","","","","","",""
"span","P","2","648","generic","CCR of 9.4 exceeds 3.1 for large or bolded text.","","none","9.4","rgb(0, 0, 238)","#0000ee","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","18","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"div","P","2","652","generic","CCR of 8.6 exceeds 4.5.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","","","blog-post-category","","","","","","",""
